wage_allowance_fixed_id,clause_fixed_id,clauses,parent_allowance,allowance,is_all_purpose,rate,rate_unit,base_pay_rate_id,allowance_amount,payment_frequency,operative_from,operative_to,version_number,last_modified_datetime,published_year,awards
5647.0,9320,I.2.4,,Stand-by allowance—duty officers on a stand-by roster that includes Saturday and/or Sunday,False,24.14,Percent,BR89758,225.49,per day,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
5645.0,9318,I.2.2,,Stand-by allowance—employees on a stand-by roster that includes Saturday and/or Sunday,False,18.71,Percent,BR89758,174.77,per day,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
17.0,717,I.2.1,,Stand-by allowance—employees on Monday to Friday stand-by roster,False,10.26,Percent,BR89758,95.84,per day,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
12.0,715,A.8.2(a),An adult employee who works underground on any shift,Underground allowance (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.15,per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
1.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance,False,0.63,Percent,BR89758,5.88,per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
2.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—minimum payment,False,0.32,Percent,BR89758,2.99,minimum payment per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
3.0,715,A.8.2(a),"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Water money,False,0.49,Percent,BR89758,4.58,per shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
13.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per afternoon shift,False,0.43,Percent,BR89758,3.84,per afternoon shift (additional to the shiftwork rates),2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
14.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per night shift,False,0.85,Percent,BR89758,7.59,per night shift (additional to the shiftwork rates),2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
11.0,715,A.8.2(a),Where an employee carries out pressure or x-ray standard welding on booms,Boom Welding allowance (does not apply to employees employed under the open cut work model),False,0.095,Percent,BR89758,0.85,per hour,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
7.0,715,A.8.2(a),"Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusually discomforting",Confined spaces allowance (Electrical/ Mechanical),False,0.08,Percent,BR89758,0.71,per hour,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
6.0,715,A.8.2(a),"Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",Dirty work,False,0.23,Percent,BR89758,2.05,per shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
16.0,716,B.3.1(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance,False,0.45,Percent,BR89758,4.02,per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
10.0,715,A.8.2(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models),False,0.45,Percent,BR89758,4.02,per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
15.0,716,B.3.1(a),Where an employee is appointed as the first aid officer,First Aid Officer allowance,False,0.76,Percent,BR89758,6.79,"per day or shift or attendance at, or paid absence from, work",2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
9.0,715,A.8.2(a),Where an employee is appointed as a first aid officer,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models),False,0.76,Percent,BR89758,6.79,per day or shift or attendance at or paid absence from work,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
8.0,715,A.8.2(a),Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,Height money (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.05,per shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
4.0,715,A.8.2(a),An employee is engaged on shaft work,Shaft work (Electrical / Mechanical),False,0.59,Percent,BR89758,5.27,per shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
5.0,715,A.8.2(a),Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pumps); A minimum payment of one hour for work on pumps after removal from a pumping station or treatment works for cleaning or stripping,Shaft work (Electrical / Mechanical)—minimum payment,False,0.3,Percent,BR89758,2.68,minimum payment per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
5646.0,9319,I.2.3,,Stand-by allowance—duty officers on a Monday to Friday stand-by roster,False,12.07,Percent,BR89758,107.79,per day,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
5647.0,9320,I.2.4,,Stand-by allowance—duty officers on a stand-by roster that includes Saturday and/or Sunday,False,24.14,Percent,BR89758,215.57,per day,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
5645.0,9318,I.2.2,,Stand-by allowance—employees on a stand-by roster that includes Saturday and/or Sunday,False,18.71,Percent,BR89758,167.08,per day,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
17.0,717,I.2.1,,Stand-by allowance—employees on Monday to Friday stand-by roster,False,10.26,Percent,BR89758,91.62,per day,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
12.0,715,A.8.2(a),An adult employee who works underground on any shift,Underground allowance (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.05,per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
1.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance,False,0.63,Percent,BR89758,5.63,per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
2.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—minimum payment,False,0.32,Percent,BR89758,2.86,minimum payment per day or shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
3.0,715,A.8.2(a),"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Water money,False,0.49,Percent,BR89758,4.38,per shift,2021-07-01,2022-06-30,1.0,2022-03-03T09:01:31+00:00,2021,1
13.0,715,A.8.2,Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees,False,0.43,Percent,,3.75,per afternoon shift (additional to the shiftwork rates),2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
14.0,715,A.8.2,Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees,False,0.85,Percent,,7.41,per night shift (additional to the shiftwork rates),2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
11.0,715,A.8.2,Where an employee carries out pressure or x-ray standard welding on booms,Boom Welding allowance (does not apply to employees employed under the open cut work model),False,0.095,Percent,,0.83,per hour,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
7.0,715,A.8.2,"Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusually discomforting",Confined spaces allowance (Electrical/ Mechanical),False,0.08,Percent,,0.7,per hour,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
6.0,715,A.8.2,"Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",Dirty work,False,0.23,Percent,,2.0,per shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
16.0,716,B.3.1,Where an employee is appointed as a first aid attendant,First Aid Attendant allowance,False,0.45,Percent,,3.92,per day/shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
10.0,715,A.8.2,Where an employee is appointed as a first aid attendant,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models),False,0.45,Percent,,3.92,per day or shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
15.0,716,B.3.1,Where an employee is appointed as the first aid officer,First Aid Officer allowance,False,0.76,Percent,,6.62,"per day or shift or attendance at, or paid absence from, work",2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
9.0,715,A.8.2,Where an employee is appointed as a first aid officer,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models),False,0.76,Percent,,6.62,per day or shift or attendance at or paid absence from work,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
8.0,715,A.8.2,Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,Height money (Electrical/ Mechanical),False,0.23,Percent,,2.0,per shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
4.0,715,A.8.2,An employee is engaged on shaft work,Shaft work (Electrical / Mechanical),False,0.59,Percent,,5.14,per shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
5.0,715,A.8.2,Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pumps); A minimum payment of one hour for work on pumps after removal from a pumping station or treatment works for cleaning or stripping,Shaft work (Electrical / Mechanical)—minimum payment per day/shift,False,0.3,Percent,,2.61,minimum payment per day/shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
5646.0,9319,H.2.3,,Stand-by allowance—duty officers on a Monday to Friday stand-by roster,False,12.07,Percent,,105.15,per day,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
5647.0,9320,H.2.4,,Stand-by allowance—duty officers on a stand-by roster that includes Saturday and/or Sunday,False,24.14,Percent,,210.31,per day,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
5645.0,9318,H.2.2,,Stand-by allowance—employees on a stand-by roster that includes Saturday and/or Sunday,False,18.71,Percent,,163.0,per day,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
17.0,717,H.2.1,,Stand-by allowance—employees on Monday to Friday stand-by roster,False,10.26,Percent,,89.39,per day,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
12.0,715,A.8.2,An adult employee who works underground on any shift,Underground allowance (Electrical/ Mechanical),False,0.23,Percent,,2.0,per day or shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
2.0,715,A.8.2,Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—minimum payment,False,0.32,Percent,,2.79,minimum payment per day/shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
1.0,715,A.8.2,Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—per day or per shift,False,0.63,Percent,,5.49,per day or per shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
3.0,715,A.8.2,"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Water money,False,0.49,Percent,,4.27,per shift,2020-11-01,2021-06-30,,2022-03-03T09:01:31+00:00,2020,1
13.0,715,A.8.2,,Additional shift allowance—Open cut employees (additional to shift rates) + Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,False,0.43,Percent,,3.68,per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
14.0,715,A.8.2,,Additional shift allowance—Open cut employees (additional to shift rates) + Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,False,0.85,Percent,,7.28,per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
11.0,715,A.8.2,,Boom Welding allowance (does not apply to employees employed under the open cut work model) + Where an employee carries out pressure or x-ray standard welding on booms,False,0.095,Percent,,0.81,per hour,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
7.0,715,A.8.2,,"Confined spaces allowances (electrical/mechanical) + Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusual",False,0.08,Percent,,0.68,per hour,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
6.0,715,A.8.2,,"Dirty work + Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",False,0.23,Percent,,1.97,per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
10.0,715,A.8.2,,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models) + Where an employee is appointed as a first aid attendant,False,0.45,Percent,,3.85,per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
16.0,716,B.3.1,,First Aid Attendant allowance + Where an employee is appointed as a first aid attendant,False,0.45,Percent,,3.85,per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
9.0,715,A.8.2,,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models) + Where an employee is appointed as a first aid officer,False,0.76,Percent,,6.51,per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
15.0,716,B.3.1,,First Aid Officer allowance + Where an employee is appointed as the first aid officer,False,0.76,Percent,,6.51,per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
8.0,715,A.8.2,,Height money (electrical/mechanical) + Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,False,0.23,Percent,,1.97,per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
4.0,715,A.8.2,,Shaft work (electrical/mechanical) + An employee is engaged on shaft work; Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pu,False,0.59,Percent,,5.05,Payment per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
5.0,715,A.8.2,,Shaft work (electrical/mechanical) + An employee is engaged on shaft work; Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pu,False,0.3,Percent,,2.57,minimum payment,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
5646.0,9319,H.2.3,,Stand-by allowance—duty officers on a Monday to Friday stand-by roster,False,12.07,Percent,,103.34,per day,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
5647.0,9320,H.2.4,,Stand-by allowance—duty officers on a stand-by roster that includes Saturday and/or Sunday,False,24.14,Percent,,206.69,per day,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
5645.0,9318,H.2.2,,Stand-by allowance—employees on a stand-by roster that includes Saturday and/or Sunday,False,18.71,Percent,,160.2,per day,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
17.0,717,H.2.1,,Stand-by allowance—employees on Monday to Friday stand-by roster,False,10.26,Percent,,87.85,per day,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
12.0,715,A.8.2,,Underground allowance (electrical/mechanical) + An adult employee who works underground on any shift,False,0.23,Percent,,1.97,per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
1.0,715,A.8.2,,Washery allowance + Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,False,0.63,Percent,,5.39,Payment per day/shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
2.0,715,A.8.2,,Washery allowance + Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,False,0.32,Percent,,2.74,minimum payment per day/per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
3.0,715,A.8.2,,"Water money + Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An",False,0.49,Percent,,4.2,per shift,2019-07-01,2020-10-31,,2022-03-03T09:01:31+00:00,2019,1
13.0,715,A.8.2,,Additional shift allowance—Open cut employees (additional to shift rates) + Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,False,0.43,Percent,,3.57,per shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
14.0,715,A.8.2,,Additional shift allowance—Open cut employees (additional to shift rates) + Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,False,0.85,Percent,,7.07,per shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
11.0,715,A.8.2,,Boom Welding allowance (does not apply to employees employed under the open cut work model) + Where an employee carries out pressure or x-ray standard welding on booms,False,0.095,Percent,,0.79,per hour,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
7.0,715,A.8.2,,"Confined spaces allowances (electrical/mechanical) + Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusual",False,0.08,Percent,,0.67,per hour,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
6.0,715,A.8.2,,"Dirty work + Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",False,0.23,Percent,,1.91,per shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
10.0,715,A.8.2,,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models) + Where an employee is appointed as a first aid attendant,False,0.45,Percent,,3.74,per day/shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
16.0,716,B.3.1,,First Aid Attendant allowance + Where an employee is appointed as a first aid attendant,False,0.45,Percent,,3.74,per day/shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
9.0,715,A.8.2,,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models) + Where an employee is appointed as a first aid officer,False,0.76,Percent,,6.32,per day/shift,2018-07-01,2019-06-30,,2022-02-15T05:49:51+00:00,2018,1
