expense_allowance_fixed_id,clause_fixed_id,clauses,parent_allowance,allowance,is_all_purpose,allowance_amount,payment_frequency,last_adjusted_year,cpi_quarter_last_adjusted,operative_from,operative_to,version_number,last_modified_datetime,published_year
7.0,1829,19.5(b)(i),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,16.28,per occasion,2019.0,,2020-11-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
9512.0,22983,19.5(c),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,13.03,per occasion,2019.0,,2020-11-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
8.0,1830,19.6(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2020
9.0,1831,19.6(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
4.0,1827,19.2(c)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2019
5.0,1828,19.2(c)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2019
7.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,15.94,per occasion,2018.0,,2019-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2019
9512.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,12.76,per occasion,2018.0,,2019-07-01,2020-10-31,0,2023-04-05T17:24:55+00:00,2019
8.0,1830,19.4(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2019
9.0,1831,19.4(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2019
4.0,1827,19.2(c)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2018
5.0,1828,19.2(c)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2018
7.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,15.45,per occasion,2017.0,,2018-07-01,2019-06-30,0,2022-02-15T15:39:30+00:00,2018
9512.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,12.37,per occasion,2017.0,,2018-07-01,2019-06-30,0,2023-04-05T17:24:54+00:00,2018
8.0,1830,19.4(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2018
9.0,1831,19.4(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2018
4.0,1827,19.2(c)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2017
5.0,1828,19.2(c)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2017
7.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,15.14,per occasion,2016.0,,2017-07-01,2018-06-30,0,2022-02-15T15:39:30+00:00,2017
9512.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,12.12,per occasion,2016.0,,2017-07-01,2018-06-30,0,2023-04-05T17:24:54+00:00,2017
8.0,1830,19.4(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2017
9.0,1831,19.4(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2017
4.0,1827,19.2(c)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2016
5.0,1828,19.2(c)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2016
7.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,14.98,per occasion,2015.0,,2016-07-01,2017-06-30,0,2023-04-05T17:21:09+00:00,2016
9512.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,11.99,per occasion,2015.0,,2016-07-01,2017-06-30,0,2023-04-05T17:24:54+00:00,2016
8.0,1830,19.4(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2016
9.0,1831,19.4(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2016
4.0,1827,19.2(c)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,0,2023-04-05T17:21:08+00:00,2015
5.0,1828,19.2(c)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,0,2023-04-05T17:21:08+00:00,2015
7.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,14.65,per occasion,2014.0,,2015-07-01,2016-06-30,0,2022-02-15T15:39:30+00:00,2015
9512.0,1829,19.3(a),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,11.73,per occasion,2014.0,,2015-07-01,2016-06-30,0,2023-04-05T17:24:53+00:00,2015
8.0,1830,19.4(a)(i),,Vehicle allowance—Motor car,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:29+00:00,2015
9.0,1831,19.4(a)(ii),,Vehicle allowance—Motorcycle,False,0.26,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2015
13593.0,36263,17.4(b),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,13.76,per occasion ,2022.0,,2023-07-01,,3,2023-06-02T10:12:41+00:00,2023
11.0,1832,17.4(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,15.23,per occasion ,2022.0,March Quarter,2023-07-01,,6,2023-06-02T10:12:41+00:00,2023
14.0,1835,17.8(b),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.95,per km,2022.0,March Quarter,2023-07-01,,4,2023-06-02T10:12:41+00:00,2023
15.0,1836,17.8(a),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.5,per km,2022.0,March Quarter,2023-07-01,,5,2023-06-02T10:12:41+00:00,2023
12.0,1833,17.5(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023
13.0,1834,17.5(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023
13593.0,36263,17.4(b),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,12.76,per occasion ,2021.0,March Quarter,2022-07-01,2023-06-30,2,2022-08-31T17:48:51+00:00,2022
10.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,12.76,per meal,2021.0,March Quarter,2022-07-01,,4,2022-06-24T15:23:49+00:00,2022
11.0,1832,17.4(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,14.13,per occasion ,2021.0,March Quarter,2022-07-01,2023-06-30,5,2022-08-31T17:48:42+00:00,2022
14.0,1835,17.8(b),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.91,per km,2021.0,March Quarter,2022-07-01,2023-06-30,3,2022-06-24T15:23:49+00:00,2022
15.0,1836,17.8(a),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.48,per km,2021.0,March Quarter,2022-07-01,2023-06-30,4,2022-06-24T15:23:49+00:00,2022
12.0,1833,17.5(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022
13.0,1834,17.5(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,12.47,per meal,2020.0,December Quarter,2021-07-01,2022-06-30,3,2023-04-05T17:24:55+00:00,2021
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,13.81,per meal,2020.0,December Quarter,2021-07-01,2022-06-30,3,2022-03-08T13:40:28+00:00,2021
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.8,per km,2014.0,,2021-07-01,2022-06-30,2,2022-02-15T15:41:38+00:00,2021
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.42,per km,2014.0,,2021-07-01,2022-06-30,3,2022-03-08T13:40:55+00:00,2021
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2022-02-15T15:41:38+00:00,2021
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2022-02-15T15:41:38+00:00,2021
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,12.4,per meal,2019.0,,2021-02-01,2021-06-30,0,2023-04-05T17:24:55+00:00,2020
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,13.73,per meal,2019.0,,2021-02-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2020
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2020
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,12.03,per meal,2018.0,,2019-07-01,2021-01-31,0,2023-04-05T17:24:55+00:00,2019
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,13.32,per meal,2018.0,,2019-07-01,2021-01-31,0,2022-02-15T15:39:30+00:00,2019
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2019
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2019
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2019
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2019
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,11.66,per meal,2017.0,,2018-07-01,2019-06-30,0,2023-04-05T17:24:54+00:00,2018
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,12.91,per meal,2017.0,,2018-07-01,2019-06-30,0,2022-02-15T15:39:30+00:00,2018
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2018
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2018
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2018
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2018
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,11.42,per meal,2016.0,,2017-07-01,2018-06-30,0,2023-04-05T17:24:54+00:00,2017
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,12.65,per meal,2016.0,,2017-07-01,2018-06-30,0,2022-02-15T15:39:30+00:00,2017
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2017
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2017
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2017
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2017
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,11.3,per meal,2015.0,,2016-07-01,2017-06-30,0,2023-04-05T17:24:54+00:00,2016
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,12.51,per meal,2015.0,,2016-07-01,2017-06-30,0,2022-02-15T15:39:30+00:00,2016
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2023-04-05T17:21:09+00:00,2016
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2016
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2016
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2016
13593.0,1832,19.1(a),,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,False,11.05,per meal,2014.0,,2015-07-01,2016-06-30,0,2023-04-05T17:24:53+00:00,2015
11.0,1832,19.1(a),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,12.24,per meal,2014.0,,2015-07-01,2016-06-30,0,2022-02-15T15:39:30+00:00,2015
14.0,1835,19.6(a),,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,False,0.78,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2015
15.0,1836,19.6(b),,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,False,0.41,per km,2014.0,,2014-07-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2015
12.0,1833,19.2(b)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2015
13.0,1834,19.2(b)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2015
9569.0,23088,19.2(c),,Meal allowance—further 4 hours’ overtime,False,19.56,per occasion,2022.0,March Quarter,2023-07-01,,4,2023-06-02T10:12:41+00:00,2023
18.0,1838,19.2(b)(i),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,21.57,per occasion,2022.0,March Quarter,2023-07-01,,5,2023-06-02T10:12:41+00:00,2023
16.0,1837,19.7,,Motor vehicle allowance,False,0.95,per km,2022.0,March Quarter,2023-07-01,,4,2023-06-02T10:12:41+00:00,2023
19.0,1839,19.3(c)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023
20.0,1840,19.3(c)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023
9569.0,23088,19.2(c),,Meal allowance—further 4 hours’ overtime,False,18.14,per occasion,2020.0,December Quarter,2022-07-01,2023-06-30,3,2022-06-24T15:23:49+00:00,2022
18.0,1838,19.2(b)(i),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,20.01,per occasion,2020.0,December Quarter,2022-07-01,2023-06-30,4,2022-06-24T15:23:49+00:00,2022
16.0,1837,19.7,,Motor vehicle allowance,False,0.91,per km,2021.0,June Quarter,2022-07-01,2023-06-30,3,2022-06-24T15:23:49+00:00,2022
19.0,1839,19.3(c)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022
20.0,1840,19.3(c)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022
9569.0,23088,19.2(c),,Meal allowance—further 4 hours’ overtime,False,17.63,per occasion,2020.0,December Quarter,2021-02-01,2022-06-30,2,2022-02-15T15:41:38+00:00,2021
18.0,1838,19.2(b)(i),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,19.45,per occasion,2020.0,December Quarter,2021-02-01,2022-06-30,3,2022-03-08T13:42:03+00:00,2021
16.0,1837,19.7,,Motor vehicle allowance,False,0.82,per km,2014.0,,2021-09-01,2022-06-30,2,2022-02-15T15:41:38+00:00,2021
19.0,1839,19.3(c)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,2,2022-02-15T15:41:38+00:00,2021
20.0,1840,19.3(c)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,2,2022-02-15T15:41:38+00:00,2021
9569.0,23088,19.2(c),,Meal allowance—further 4 hours’ overtime,False,17.63,per occasion,2019.0,,2021-02-01,2022-06-30,0,2022-02-15T15:41:38+00:00,2020
18.0,1838,19.2(b)(i),,Meal allowance—more than one hour’s overtime without 24 hours’ notice,False,19.45,per occasion,2019.0,,2021-02-01,2022-06-30,0,2022-02-15T15:41:38+00:00,2020
16.0,1837,19.7,,Motor vehicle allowance,False,0.78,per km,2014.0,,2014-07-01,2021-08-31,0,2022-02-15T15:39:30+00:00,2020
19.0,1839,19.3(c)(i),,Special clothing allowance—laundering—full-time employee,False,6.25,per week,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2020
20.0,1840,19.3(c)(ii),,Special clothing allowance—laundering—part-time or casual employee,False,1.25,per shift,2008.0,,2010-01-01,,0,2022-02-15T15:41:38+00:00,2020
