,classification_fixed_id,base_pay_rate_id,base_rate_type,base_rate,calculated_pay_rate_id,calculated_rate_type,calculated_rate,parent_classification_name,classification,classification_level,employee_rate_type_code_x,operative_from,operative_to,version_number,published_year,last_modified_datetime,awards,employee_rate_type_code_y
68,40,BR89767,Weekly,1135.1,CR25636,Hourly,32.43,Group E,group e*,5.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
69,43,BR102694,Weekly,1135.1,CR30054,Hourly,32.43,Group E,assistant electrical and/or mechanical engineer,5.0,AD,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,1,AD
70,90815,BR102486,Weekly,986.96,,,,,20 to 21 years - 95,5.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
71,90239,BR101985,Weekly,1146.1,,,,,group f,6.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
72,45,BR102695,Weekly,1146.1,CR30055,Hourly,32.75,Group F,senior computer operator,6.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
73,46,BR102696,Weekly,1146.1,CR30056,Hourly,32.75,Group F,assistant purchasing and stores control officer,6.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
74,47,BR102697,Weekly,1146.1,CR30057,Hourly,32.75,Group F,administrative officer,6.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
75,90248,BR101994,Weekly,1080.59,,,,,graduate engineer – level 2,6.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
76,44,BR89768,Weekly,1146.1,CR25637,Hourly,32.75,Group F,group f*,6.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
77,50,BR102699,Weekly,1206.6,CR30059,Hourly,34.47,Group G,analyst and/or programmer,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
78,57,BR102706,Weekly,1206.6,CR30066,Hourly,34.47,Group G,assistant to the chief clerk,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
79,48,BR89769,Weekly,1206.6,CR25638,Hourly,34.47,Group G,group g*,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
80,52,BR102701,Weekly,1206.6,CR30061,Hourly,34.47,Group G,paymaster,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
81,90240,BR101986,Weekly,1206.6,,,,,group g,7.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
82,55,BR102704,Weekly,1206.6,CR30064,Hourly,34.47,Group G,personnel officer,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
83,51,BR102700,Weekly,1206.6,CR30060,Hourly,34.47,Group G,environmental scientist,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
84,54,BR102703,Weekly,1206.6,CR30063,Hourly,34.47,Group G,stores control officer,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
85,53,BR102702,Weekly,1206.6,CR30062,Hourly,34.47,Group G,purchasing officer,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
86,49,BR102698,Weekly,1206.6,CR30058,Hourly,34.47,Group G,chemist,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
87,56,BR102705,Weekly,1206.6,CR30065,Hourly,34.47,Group G,safety officer,7.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
88,90950,BR102669,Weekly,1220.7,CR30071,Hourly,34.88,Group H,occupational hygienist/statutory dust sampler,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
89,90948,BR102667,Weekly,1220.7,CR30069,Hourly,34.88,Group H,mines rescue training officer level 1,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
90,90241,BR101987,Weekly,1220.7,,,,,group h,8.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
91,59,BR102707,Weekly,1220.7,CR30067,Hourly,34.88,Group H,deputy,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
92,58,BR89770,Weekly,1220.7,CR25639,Hourly,34.88,Group H,group h*,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
93,60,BR102708,Weekly,1220.7,CR30068,Hourly,34.88,Group H,training officer,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
94,90949,BR102668,Weekly,1220.7,CR30070,Hourly,34.88,Group H,mines rescue technical officer level 1,8.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
95,90242,BR101988,Weekly,1239.7,,,,,group i,9.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
96,91135,BR102850,Weekly,1239.7,CR30081,Hourly,35.42,Group I,occupational health nurse,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
97,61,BR89771,Weekly,1239.7,CR25640,Hourly,35.42,Group I,group i*,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
98,64,BR102672,Weekly,1239.7,CR30074,Hourly,35.42,Group I,coal preparation plant foreperson (tasmania),9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
99,68,BR102676,Weekly,1239.7,CR30078,Hourly,35.42,Group I,purchasing and store control officer,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
100,90946,BR102641,Weekly,1239.7,CR30082,Hourly,35.42,Group I,mines rescue training officer level 2,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
101,63,BR102671,Weekly,1239.7,CR30073,Hourly,35.42,Group I,senior analyst and/or programmer,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
102,66,BR102674,Weekly,1239.7,CR30076,Hourly,35.42,Group I,assistant accountant,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
103,90947,BR102642,Weekly,1239.7,CR30083,Hourly,35.42,Group I,mines rescue technical officer level 2,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
104,67,BR102675,Weekly,1239.7,CR30077,Hourly,35.42,Group I,chief clerk,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
105,70,BR102643,Weekly,1239.7,CR30080,Hourly,35.42,Group I,planning officer,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
106,62,BR102670,Weekly,1239.7,CR30072,Hourly,35.42,Group I,foreperson,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
107,65,BR102673,Weekly,1239.7,CR30075,Hourly,35.42,Group I,commercial officer,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
108,69,BR102677,Weekly,1239.7,CR30079,Hourly,35.42,Group I,mine surveyor,9.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
109,74,BR102646,Weekly,1256.5,CR30086,Hourly,35.9,Group J,open cut overseer,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
110,81,BR102653,Weekly,1256.5,CR30093,Hourly,35.9,Group J,accountant,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
111,91137,BR102852,Weekly,1256.5,CR30097,Hourly,35.9,Group J,mines rescue technical officer level 3,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
112,72,BR102644,Weekly,1256.5,CR30084,Hourly,35.9,Group J,engineer,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
113,90243,BR101989,Weekly,1256.5,,,,,group j,10.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
114,76,BR102648,Weekly,1256.5,CR30088,Hourly,35.9,Group J,metallurgist,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
115,75,BR102647,Weekly,1256.5,CR30087,Hourly,35.9,Group J,chief surveyor,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
116,71,BR89772,Weekly,1256.5,CR25641,Hourly,35.9,Group J,group j*,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
117,91136,BR102851,Weekly,1256.5,CR30096,Hourly,35.9,Group J,mines rescue training officer level 3,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
118,77,BR102649,Weekly,1256.5,CR30089,Hourly,35.9,Group J,senior chemist,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
119,79,BR102651,Weekly,1256.5,CR30091,Hourly,35.9,Group J,assistant undermanager,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
120,80,BR102652,Weekly,1256.5,CR30092,Hourly,35.9,Group J,senior foreperson,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
121,78,BR102650,Weekly,1256.5,CR30090,Hourly,35.9,Group J,geologist,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
122,82,BR102654,Weekly,1256.5,CR30094,Hourly,35.9,Group J,washing plant superintendent and/or supervisor,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
123,83,BR102655,Weekly,1256.5,CR30095,Hourly,35.9,Group J,edp supervisor,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
124,73,BR102645,Weekly,1256.5,CR30085,Hourly,35.9,Group J,assistant to the chief electrical and/or mechanical engineer,10.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
125,84,BR89773,Weekly,1284.8,CR25642,Hourly,36.71,Group K,group k*,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
126,88,BR102659,Weekly,1284.8,CR30101,Hourly,36.71,Group K,senior metallurgist,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
127,89,BR102660,Weekly,1284.8,CR30102,Hourly,36.71,Group K,senior engineer,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
128,90,BR102661,Weekly,1284.8,CR30103,Hourly,36.71,Group K,senior open cut overseer,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
129,90244,BR101990,Weekly,1284.8,,,,,group k,11.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
130,90964,BR102680,Weekly,1284.8,CR30105,Hourly,36.71,Group K,mines rescue training coordinator,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
131,85,BR102656,Weekly,1284.8,CR30098,Hourly,36.71,Group K,senior geologist,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
132,86,BR102657,Weekly,1284.8,CR30099,Hourly,36.71,Group K,chief geologist,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
133,87,BR102658,Weekly,1284.8,CR30100,Hourly,36.71,Group K,chief chemist,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
134,91,BR102662,Weekly,1284.8,CR30104,Hourly,36.71,Group K,coal preparation plant supervisor,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
135,90965,BR102681,Weekly,1284.8,CR30106,Hourly,36.71,Group K,mines rescue senior technical officer,11.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
136,108969,BR103784,Weekly,1284.8,CR30259,Hourly,36.71,Group K,undermanager,11.0,AD,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,1,AD
137,90252,BR101998,Weekly,1165.32,,,,,commercial graduate – level 3,11.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
138,90249,BR101995,Weekly,1181.11,,,,,graduate engineer – level 3,12.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
139,91138,BR102853,Weekly,1316.2,CR30109,Hourly,37.61,Group L,mines rescue assistant superintendent,12.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
140,93,BR102663,Weekly,1316.2,CR30107,Hourly,37.61,Group L,production supervisor,12.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
141,92,BR89774,Weekly,1316.2,CR25643,Hourly,37.61,Group L,group l*,12.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
142,90245,BR101991,Weekly,1316.2,,,,,group l,12.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
143,94,BR102664,Weekly,1316.2,CR30108,Hourly,37.61,Group L,chief electrical and/or mechanical engineer,12.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
144,95,BR89775,Weekly,1368.2,CR25644,Hourly,39.09,Group M,group m*,13.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
145,97,BR102666,Weekly,1368.2,CR30111,Hourly,39.09,Group M,undermanager (in charge),13.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
146,90246,BR101992,Weekly,1368.2,,,,,group m,13.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
147,96,BR102665,Weekly,1368.2,CR30110,Hourly,39.09,Group M,electrical and/or mechanical engineer (in charge),13.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
148,90962,BR102678,Weekly,1368.2,CR30112,Hourly,39.09,Group M,mines rescue superintendent,13.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
149,104,BR89782,Weekly,1058.3,CR25651,Hourly,27.85,,call centre principal customer contact specialist,7.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,2,AD
150,105,BR89783,Weekly,1103.6,CR25652,Hourly,29.04,,level 4 ,8.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,2,AD
151,106,BR89784,Weekly,1148.4,CR25653,Hourly,30.22,,level 5 ,9.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,2,AD
152,107,BR89785,Weekly,1258.0,CR25654,Hourly,33.11,,call centre technical associate,10.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,2,AD
153,108,BR89786,Weekly,939.6,CR25655,Hourly,24.73,,fast food employee level 1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,3,AD
154,87200,BR99198,Weekly,845.64,,,,Fast food employee level 1,20 years,1.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
155,87210,BR99208,Weekly,895.5,,,,Fast food employee level 2,20 years,2.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
156,87233,BR99221,Weekly,909.27,,,,Fast food employee level 3—in charge of one or no person,20 years,3.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
157,87224,BR99212,Weekly,920.43,,,,Fast food employee level 3—in charge of 2 or more people,20 years,4.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
158,87198,BR99196,Weekly,657.72,,,,Fast food employee level 1,18 years,1.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
159,87208,BR99206,Weekly,696.5,,,,Fast food employee level 2,18 years,2.0,JN,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,3,JN
